county,administered_date,total_doses,cumulative_total_doses,pfizer_doses,cumulative_pfizer_doses,moderna_doses,cumulative_moderna_doses,jj_doses,cumulative_jj_doses,partially_vaccinated,total_partially_vaccinated,fully_vaccinated,cumulative_fully_vaccinated,at_least_one_dose,cumulative_at_least_one_dose,california_flag,vote_diff,cumulative_at_least_one_dose_per_capita
Alameda,2021-04-01,23401,988803,9952,600246,7734,357992,5715,30565,11030,196353,12301,410295,16639,606648,California,-0.6252403021832428,0.36099685804055986
Alpine,2021-04-01,18,985,0,20,18,962,0,3,8,361,10,313,8,674,California,-0.3130904183535762,0.5574855252274608
Amador,2021-04-01,621,22084,91,5522,530,16175,0,387,266,7174,351,7653,268,14827,California,0.24356559949780293,0.3665875488305395
Butte,2021-04-01,3368,105632,2728,45055,510,57863,130,2714,2267,25211,1083,41432,2397,66643,California,-0.016620607200956483,0.33849553027224705
Calaveras,2021-04-01,699,23097,449,6986,249,15792,1,319,182,4912,511,9210,187,14122,California,0.23825651597702846,0.30488568406053673
Colusa,2021-04-01,446,8740,80,2103,311,6274,55,363,320,2599,125,3249,374,5848,California,0.1660168532260093,0.2681953680348544
Contra Costa,2021-04-01,17941,741190,12542,446216,3983,280158,1416,14816,11582,180314,6310,287193,12977,467507,California,-0.45336441684014933,0.40318315883884986
Del Norte,2021-04-01,162,10246,58,4137,70,5855,34,254,68,2660,93,3888,102,6548,California,0.15578064966818028,0.2342252110459293
El Dorado,2021-04-01,3259,103871,1786,46528,1391,54749,82,2594,1540,23740,1715,41161,1623,64901,California,0.08797292875716817,0.32938483635053317
Fresno,2021-04-01,12242,467293,4211,212161,7169,240016,862,15116,3966,136486,8170,174106,4782,310592,California,-0.07829028340857813,0.3064850996644958
Glenn,2021-04-01,672,12467,206,3978,457,7889,9,600,249,2702,421,5173,258,7875,California,0.2716967764789231,0.26927679945289795
Humboldt,2021-04-01,2119,71645,709,32566,1317,36508,93,2571,1481,17123,630,28433,1572,45556,California,-0.3341372697158133,0.33949890450568615
Imperial,2021-04-01,2265,84420,491,38933,1448,37777,326,7710,920,26271,1335,33160,1246,59431,California,-0.2438555661342079,0.3290771266729052
Inyo,2021-04-01,166,10422,2,4149,163,6177,1,96,115,2036,50,4234,116,6270,California,-0.0014766374854973119,0.3440329218106996
Kern,2021-04-01,7953,324435,3899,147738,3741,163159,313,13538,4216,93685,3701,121727,4524,215412,California,0.10195068572139993,0.2359154081196815
Kings,2021-04-01,941,48715,509,17522,341,29126,91,2067,359,15819,575,17540,450,33359,California,0.12250900633863837,0.21376300815092017
Lake,2021-04-01,455,31590,240,9926,203,20700,12,964,183,6179,268,13149,195,19328,California,-0.06312500000000004,0.29954745521046433
Lassen,2021-04-01,148,7223,6,1016,123,5788,19,419,40,2124,107,2738,59,4862,California,0.5148936170212766,0.15949873700095135
Los Angeles,2021-04-01,135985,5157898,63865,2651366,56533,2369731,15587,136801,72260,1443385,63252,1917762,87673,3361147,California,-0.4417450872452148,0.33714264793354937
Madera,2021-04-01,1410,64935,629,30261,731,32653,50,2021,486,18806,913,24378,534,43184,California,0.11559510070362239,0.27294159287560754
Marin,2021-04-01,4480,213198,2298,122831,1928,87045,254,3322,2120,45519,2344,85238,2367,130757,California,-0.6654386043735278,0.5084774104233261
Mariposa,2021-04-01,57,7461,12,1069,36,6120,9,272,35,2798,22,2480,44,5278,California,0.18112840466926078,0.3141853681766772
Mendocino,2021-04-01,1753,60619,423,30310,1250,29112,80,1197,378,8311,1365,26601,457,34912,California,-0.3580164297581687,0.4085903212592896
Merced,2021-04-01,2622,104537,1066,59543,1198,40911,358,4083,1069,34793,1535,36670,1426,71463,California,-0.1059630443666405,0.25097809214084527
Modoc,2021-04-01,169,4267,3,429,161,3614,5,224,34,457,135,2016,39,2473,California,0.4515905947441217,0.27714894093914605
Mono,2021-04-01,10,11352,0,7459,10,3807,0,86,6,2597,4,4408,6,7005,California,-0.2226510316164465,0.4822387443205287
Monterey,2021-04-01,6305,206542,2110,87460,3785,111668,410,7414,3127,70983,3162,71338,3533,142321,California,-0.4128189012893345,0.3277148771653507
Napa,2021-04-01,1770,100703,849,47273,803,51860,118,1570,485,22569,1277,39798,599,62367,California,-0.4040514683453038,0.4597505418196294
Nevada,2021-04-01,1292,56603,749,28968,490,26484,53,1151,574,14604,706,21478,625,36082,California,-0.14798109302110046,0.35992378976348893
Orange,2021-04-01,41232,1684210,21614,877952,17654,770749,1964,35509,25877,515928,15111,600339,27811,1116267,California,-0.09036521053409774,0.3515657626616863
Placer,2021-04-01,2992,224635,1440,118889,1502,102451,50,3295,1656,47960,1325,89721,1705,137681,California,0.06645902211329391,0.3355397036997322
Plumas,2021-04-01,317,10034,14,825,300,8779,3,430,67,2856,247,3794,69,6650,California,0.1673773987206823,0.3511273034479117
Riverside,2021-04-01,25814,1044767,12596,532880,12415,487910,803,23977,16502,278575,9214,395732,17307,674307,California,-0.0795487855315834,0.2675757720054284
Sacramento,2021-04-01,17566,740912,10493,385862,6819,341127,254,13923,7303,189833,10208,281687,7558,471520,California,-0.25254841359339547,0.29867990979805914
San Benito,2021-04-01,972,27147,393,10459,539,15642,40,1046,575,8339,394,9873,609,18212,California,-0.24419693973144585,0.2780882577492747
San Bernardino,2021-04-01,20018,807586,10580,435386,8003,354110,1435,18090,12781,213822,7184,305074,14205,518896,California,-0.106550953645424,0.23514036478984932
San Diego,2021-04-01,33704,1782490,19735,851063,12489,903573,1480,27854,22881,574298,10800,701839,25667,1276137,California,-0.2276025427633509,0.3812471058504393
San Francisco,2021-04-01,14114,594156,7474,367817,4922,211451,1718,14888,6055,147526,8016,230095,7708,377621,California,-0.725523048405937,0.4275333850360315
San Joaquin,2021-04-01,6729,305403,3049,154790,3587,145082,93,5531,2979,85077,3701,112158,3134,197235,California,-0.13881078757328136,0.2523923108225352
San Luis Obispo,2021-04-01,3959,151547,2513,74220,1329,72913,117,4414,2742,41374,1195,57135,2857,98509,California,-0.13072312923892015,0.3485501990269792
San Mateo,2021-04-01,10695,495351,5269,274296,4213,212235,1213,8820,5763,107856,4873,197541,6939,305397,California,-0.5769181425035681,0.40059578386503963
Santa Barbara,2021-04-01,7090,220573,5234,110525,1592,101820,264,8228,4165,67245,2897,80481,4429,147726,California,-0.32067323054801083,0.3297919127020094
Santa Clara,2021-04-01,32265,1037133,20009,549241,9116,460574,3140,27318,20220,257552,11951,402108,23287,659660,California,-0.47424405247600887,0.3437734511798549
Santa Cruz,2021-04-01,3807,161879,2055,64693,1644,94929,108,2257,1929,43054,1871,60415,2035,103469,California,-0.6029793640708307,0.38046088168350145
Shasta,2021-04-01,871,71990,228,29799,628,39450,15,2741,545,18431,323,28087,559,46518,California,0.3314208826695372,0.2572585194279457
Sierra,2021-04-01,62,2185,1,91,61,2091,0,3,5,320,55,932,5,1252,California,0.2134715025906736,0.41443230718305196
Siskiyou,2021-04-01,824,21131,666,7467,158,13229,0,435,210,4618,614,8460,210,13078,California,0.15765458422174838,0.30052623112806487
Solano,2021-04-01,5600,237932,2117,118267,3329,116647,154,3018,3530,67031,2056,86730,3684,153761,California,-0.3028358216206499,0.3405717652426802
Sonoma,2021-04-01,7005,334487,4085,164017,2568,162779,352,7691,3770,76878,3202,132088,4111,208966,California,-0.514862890118247,0.4302172847843005
Stanislaus,2021-04-01,5946,233351,3874,119331,1956,106475,116,7545,2751,76695,3160,81300,2874,157995,California,-0.007892924291219128,0.28430275242564707
Sutter,2021-04-01,1394,44842,742,15995,464,27697,188,1150,426,10186,957,17812,613,27998,California,0.16435272045028143,0.28506266735901115
Tehama,2021-04-01,570,21174,274,4851,291,15862,5,461,426,6144,143,7730,431,13874,California,0.3561853695901953,0.20640918828850274
Trinity,2021-04-01,41,5032,10,500,20,4340,11,192,22,1230,19,1994,33,3224,California,0.053851070629594155,0.2750618547905469
Tulare,2021-04-01,4578,190760,2484,102207,2023,84836,71,3717,1564,55352,3002,69364,1634,124716,California,0.07814372888743598,0.26568841112297004
Tuolumne,2021-04-01,1259,30725,29,7744,1230,22734,0,247,228,6343,1029,12285,228,18628,California,0.18785566264267622,0.3407976582510062
Ventura,2021-04-01,10950,460147,5303,220394,4768,230129,879,9624,5453,123289,5437,172680,6324,295969,California,-0.21098041627828856,0.3516182071770892
Yolo,2021-04-01,3866,128606,1870,58615,1520,67554,476,2437,1588,29898,2275,50479,2063,80377,California,-0.4143979272906728,0.3632628895798684
Yuba,2021-04-01,639,23327,295,7121,315,15529,29,677,293,6190,346,8889,322,15079,California,0.21640312888172697,0.18641364816417358